what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1349000810426
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1349000810426
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1349000810426
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1349000810427
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1349000810499
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1349000810499
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1349000810499
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1349000810499
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1349000810499
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1349000810499
os,sysinfo,,,"macosx",1349000810504
arch,sysinfo,,,"x86_64",1349000810504
ws,sysinfo,,,"cocoa",1349000810504
locale,sysinfo,,,"en_US",1349000810504
processors,sysinfo,,,"2",1349000810504
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1349000810504
java.runtime.version,sysinfo,,,"1.6.0_35-b10-428-11M3811",1349000810504
java.specification.name,sysinfo,,,"Java Platform API Specification",1349000810504
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349000810504
java.specification.version,sysinfo,,,"1.6",1349000810504
java.vendor,sysinfo,,,"Apple Inc.",1349000810504
java.version,sysinfo,,,"1.6.0_35",1349000810504
java.vm.info,sysinfo,,,"mixed mode",1349000810504
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1349000810504
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349000810504
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349000810504
java.vm.specification.version,sysinfo,,,"1.0",1349000810504
java.vm.vendor,sysinfo,,,"Apple Inc.",1349000810504
java.vm.version,sysinfo,,,"20.10-b01-428",1349000810504
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1349000810548
started,bundle,com.aptana.filewatcher,3.0.1.1337406272,"com.aptana.filewatcher",1349000811567
started,bundle,com.aptana.scripting,3.0.0.1345071090,"com.aptana.scripting",1349000811568
started,bundle,com.aptana.scripting.ui,3.0.0.1337868086,"com.aptana.scripting.ui",1349000811571
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1349000811816
started,bundle,com.aptana.explorer,3.0.0.1338904888,"com.aptana.explorer",1349000812281
started,bundle,com.aptana.theme,3.0.0.1339679951,"com.aptana.theme",1349000812409
started,bundle,beaver,3.0.0.1330991996,"beaver",1349000812772
started,bundle,com.aptana.usage,3.0.0.1345235597,"com.aptana.usage",1349000813327
started,bundle,org.python.pydev.red_core,2.5.0.2012050419,"org.python.pydev.red_core",1349000813470
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1349000813721
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1349000814248
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1349000814597
started,bundle,com.aptana.ui,3.1.4.1343174370,"com.aptana.ui",1349000814697
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1349000814789
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1349000814835
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1349000815330
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1349000815392
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349000815425
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349000815474
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1349000815516
started,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1349000816680
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1349000816718
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1349000817014
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1349000817208
started,bundle,com.aptana.browser,3.0.0.1337406272,"com.aptana.browser",1349000817386
started,bundle,com.aptana.configurations,3.0.3.1337406272,"com.aptana.configurations",1349000817569
started,bundle,com.aptana.projects,3.0.0.1345075721,"com.aptana.projects",1349000817713
started,bundle,com.aptana.samples.ui,3.0.0.1344259195,"com.aptana.samples.ui",1349000817854
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1349000817867
started,bundle,com.aptana.samples,3.0.0.1337406272,"com.aptana.samples",1349000817891
opened,editor,com.aptana.portal.ui,,"com.aptana.portal.ui.browser.startPage",1349000817912
started,bundle,com.aptana.preview,3.0.0.1337406272,"com.aptana.preview",1349000818018
activated,editor,com.aptana.portal.ui,,"com.aptana.portal.ui.browser.startPage",1349000818209
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110815-1419,"org.eclipse.equinox.p2.extensionlocation",1349000820161
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1349000820728
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.publisher",1349000821380
